mgi_symbol	ensembl_gene_id	external_gene_name
Camk1g	ENSMUSG00000016179	Camk1g
Utp25	ENSMUSG00000016181	Utp25
Hsd11b1	ENSMUSG00000016194	Hsd11b1
Syt14	ENSMUSG00000016200	Syt14
Lonrf3	ENSMUSG00000016239	Lonrf3
Atp5e	ENSMUSG00000016252	Atp5e
Nelfcd	ENSMUSG00000016253	Nelfcd
Tubb1	ENSMUSG00000016255	Tubb1
Ctsz	ENSMUSG00000016256	Ctsz
Prelid3b	ENSMUSG00000016257	Prelid3b
Sertad4	ENSMUSG00000016262	Sertad4
Ube2a	ENSMUSG00000016308	Ube2a
Slc25a5	ENSMUSG00000016319	Slc25a5
Atp1b4	ENSMUSG00000016327	Atp1b4
Ppdpf	ENSMUSG00000016344	Ppdpf
Kcnq2	ENSMUSG00000016346	Kcnq2
Eef1a2	ENSMUSG00000016349	Eef1a2
Col20a1	ENSMUSG00000016356	Col20a1
Pls3	ENSMUSG00000016382	Pls3
Mpped2	ENSMUSG00000016386	Mpped2
Nkap	ENSMUSG00000016409	Nkap
Ndufa1	ENSMUSG00000016427	Ndufa1
Wt1	ENSMUSG00000016458	Wt1
Cr1l	ENSMUSG00000016481	Cr1l
Cd46	ENSMUSG00000016493	Cd46
Cd34	ENSMUSG00000016494	Cd34
Il19	ENSMUSG00000016524	Il19
Dyrk3	ENSMUSG00000016526	Dyrk3
Mapkapk2	ENSMUSG00000016528	Mapkapk2
Il10	ENSMUSG00000016529	Il10
Lamp2	ENSMUSG00000016534	Lamp2
Sulf1	ENSMUSG00000016918	Sulf1
Srsf6	ENSMUSG00000016921	Srsf6
Plcg1	ENSMUSG00000016933	Plcg1
Matn4	ENSMUSG00000016995	Matn4
Svs4	ENSMUSG00000016998	Svs4
Svs6	ENSMUSG00000017000	Svs6
Slpi	ENSMUSG00000017002	Slpi
Svs3a	ENSMUSG00000017003	Svs3a
Svs5	ENSMUSG00000017004	Svs5
Rbpjl	ENSMUSG00000017007	Rbpjl
Sdc4	ENSMUSG00000017009	Sdc4
Il13ra1	ENSMUSG00000017057	Il13ra1
Rnd3	ENSMUSG00000017144	Rnd3
Dnttip1	ENSMUSG00000017299	Dnttip1
Tnnc2	ENSMUSG00000017300	Tnnc2
Acot8	ENSMUSG00000017307	Acot8
Spint4	ENSMUSG00000017310	Spint4
Cacnb4	ENSMUSG00000017412	Cacnb4
Arl5b	ENSMUSG00000017418	Arl5b
Cd40	ENSMUSG00000017652	Cd40
Slc35c2	ENSMUSG00000017664	Slc35c2
Zfp334	ENSMUSG00000017667	Zfp334
Elmo2	ENSMUSG00000017670	Elmo2
Ttpal	ENSMUSG00000017679	Ttpal
Ada	ENSMUSG00000017697	Ada
Serinc3	ENSMUSG00000017707	Serinc3
Trp53tg5	ENSMUSG00000017720	Trp53tg5
Pigt	ENSMUSG00000017721	Pigt
Wfdc2	ENSMUSG00000017723	Wfdc2
Eppin	ENSMUSG00000017733	Eppin
Dbndd2	ENSMUSG00000017734	Dbndd2
Mmp9	ENSMUSG00000017737	Mmp9
Slc12a5	ENSMUSG00000017740	Slc12a5
Pltp	ENSMUSG00000017754	Pltp
Ctsa	ENSMUSG00000017760	Ctsa
Zswim1	ENSMUSG00000017764	Zswim1
Spata25	ENSMUSG00000017767	Spata25
Jph2	ENSMUSG00000017817	Jph2
Ift52	ENSMUSG00000017858	Ift52
Mybl2	ENSMUSG00000017861	Mybl2
Sgk2	ENSMUSG00000017868	Sgk2
Eya2	ENSMUSG00000017897	Eya2
B4galt5	ENSMUSG00000017929	B4galt5
Gdap1l1	ENSMUSG00000017943	Gdap1l1
Hnf4a	ENSMUSG00000017950	Hnf4a
Ptgis	ENSMUSG00000017969	Ptgis
Ddx27	ENSMUSG00000017999	Ddx27
Uchl5	ENSMUSG00000018189	Uchl5
Glrx2	ENSMUSG00000018196	Glrx2
Ro60	ENSMUSG00000018199	Ro60
Stk4	ENSMUSG00000018209	Stk4
Wfdc15b	ENSMUSG00000018211	Wfdc15b
Tomm34	ENSMUSG00000018322	Tomm34
Ywhab	ENSMUSG00000018326	Ywhab
Myo1b	ENSMUSG00000018417	Myo1b
