	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Srm	0	0.549573966829749	0.552	0.101	0	Astroependymal
Rps9	0	0.544993094041483	0.999	0.981	0	Astroependymal
Smim3	0	0.544559711054899	0.455	0.049	0	Astroependymal
Eef1e1	0	0.531886121161983	0.648	0.176	0	Astroependymal
Rpl23	0	0.530765480637357	0.999	0.985	0	Astroependymal
Rpl34	0	0.515171493482474	0.997	0.974	0	Astroependymal
Psap	0	-0.846511598047037	0.889	0.962	0	Ependymal
Laptm4a	0	-0.87934785095764	0.937	0.981	0	Ependymal
Zbtb20	0	-0.902284564154254	0.828	0.922	0	Ependymal
S100b	0	-0.960231425057847	0.61	0.882	0	Ependymal
Mlf1	0	-0.974758936006704	0.62	0.863	0	Ependymal
Lrrc51	0	-1.00087603300977	0.418	0.786	0	Ependymal
Mt3	0	-1.02379880736672	0.989	0.999	0	Ependymal
Dmkn	0	-1.02586321561365	0.093	0.629	0	Ependymal
Cfap126	0	-1.04720109700236	0.635	0.917	0	Ependymal
Foxj1	0	-1.09983519103893	0.427	0.783	0	Ependymal
Jun	0	-1.10394732235245	0.934	0.962	0	Ependymal
1700016K19Rik	0	-1.11585524237611	0.384	0.824	0	Ependymal
Pltp	0	-1.12445202281524	0.667	0.892	0	Ependymal
Dnah12	0	-1.12941208350795	0.136	0.651	0	Ependymal
Gm14964	0	-1.131517496652	0.398	0.795	0	Ependymal
Odf3b	0	-1.1348027737873	0.404	0.807	0	Ependymal
Junb	0	-1.15000148259959	0.931	0.944	0	Ependymal
1700012B09Rik	0	-1.15267272528043	0.263	0.739	0	Ependymal
Enkur	0	-1.15958170129223	0.334	0.756	0	Ependymal
Rsph1	0	-1.20929192959609	0.727	0.933	0	Ependymal
Hspa2	0	-1.21474894353768	0.668	0.93	0	Ependymal
Zfp36l1	0	-1.22879494356151	0.771	0.916	0	Ependymal
Itm2b	0	-1.24820812465236	0.982	0.998	0	Ependymal
Riiad1	0	-1.24889861961339	0.399	0.868	0	Ependymal
Elof1	0	-1.26294085605628	0.701	0.942	0	Ependymal
Nap1l5	0	-1.28215321484451	0.224	0.734	0	Ependymal
Gm10714	0	-1.28739507984968	0.112	0.679	0	Ependymal
Itm2c	0	-1.29726019834943	0.848	0.971	0	Ependymal
Fos	0	-1.31590417805489	0.962	0.984	0	Ependymal
Pde6d	0	-1.32607647036479	0.47	0.795	0	Ependymal
Fam183b	0	-1.33041043738999	0.681	0.953	0	Ependymal
