	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Cacng4	1.45548109839431e-121	1.00735557946924	0.811	0.625	4.82884964014282e-117	OPC-A
Rpl4	2.46192243900434e-121	-0.672588409100118	0.928	0.994	8.16792007588468e-117	OPC-B
Fth1	2.3645678629804e-120	-0.762846831787181	0.993	1	7.84492679901007e-116	OPC-B
Pcsk1n	2.48427289820175e-120	0.847437379866082	0.938	0.875	8.24207219436394e-116	OPC-A
Apoe	4.31331925288019e-120	1.00260083427266	0.979	0.874	1.43102992852806e-115	OPC-A
Col6a3	1.731379858032e-119	-0.475546789628266	0.017	0.309	5.74419895499276e-115	OPC-B
Ap1s1	1.88545895527321e-119	-0.642451042120797	0.481	0.871	6.25538717590994e-115	OPC-B
Snx22	3.99514550503131e-118	0.902371776614381	0.612	0.137	1.32546942420424e-113	OPC-A
Grm5	4.41386828273021e-118	0.965191090697747	0.652	0.241	1.4643890801614e-113	OPC-A
Rtn1	6.44531727876625e-117	0.564620290155865	0.984	0.963	2.13836291357628e-112	OPC-A
Oaf	3.00144232305247e-116	-0.524546357299846	0.061	0.407	9.95788519519119e-112	OPC-B
Opcml	3.77898638741789e-116	0.86104693276999	0.79	0.51	1.25375431375363e-111	OPC-A
Carhsp1	1.63327808649194e-115	-0.505599839117014	0.207	0.67	5.41872670755433e-111	OPC-B
Sdc4	2.00557932584892e-115	-0.725574346349767	0.159	0.582	6.65391052936898e-111	OPC-B
Dbi	4.31677843409804e-115	0.533110279575472	0.999	0.999	1.43217758108071e-110	OPC-A
Rps17	4.29190726639897e-114	-0.533960454501944	0.976	0.999	1.42392607377318e-109	OPC-B
Hbegf	3.23064498042706e-113	-1.37450627838526	0.437	0.772	1.07183108515629e-108	OPC-B
Rpl35	5.05071079705029e-113	-0.632077507270768	0.93	0.994	1.67567432113737e-108	OPC-B
Tagln2	5.45794506351926e-113	-0.586909096632505	0.797	0.977	1.81078243372378e-108	OPC-B
Rpl10	7.77843209774076e-113	-0.564255562831061	0.981	0.994	2.58065041706745e-108	OPC-B
Mt1	3.22682265425173e-112	-0.912307426606335	0.923	0.99	1.0705629520011e-107	OPC-B
Matn4	5.25327449846338e-112	0.824789922875277	0.88	0.688	1.7428788803552e-107	OPC-A
Srxn1	1.1756097965978e-111	-0.749064168103084	0.214	0.637	3.90032062217252e-107	OPC-B
Ncald	1.45785048219467e-111	0.810932981674444	0.864	0.733	4.83671054477726e-107	OPC-A
Ndrg2	2.15091524053084e-111	0.766499681337731	0.845	0.657	7.13609149350916e-107	OPC-A
Nrxn1	6.25974730257791e-111	1.03895494980658	0.809	0.677	2.07679636257627e-106	OPC-A
Actn4	1.02310871544423e-110	-0.639991827814132	0.37	0.78	3.39436778522931e-106	OPC-B
Slc1a2	2.15250703744006e-110	1.09837163544417	0.771	0.588	7.14137259811489e-106	OPC-A
Sparcl1	2.44075965487632e-110	0.82998266830302	0.87	0.763	8.09770830698317e-106	OPC-A
Ahnak	3.80641045129236e-108	-0.450276050651943	0.037	0.343	1.26285279542527e-103	OPC-B
Rpl36a	4.82096126517826e-108	-0.568392759004979	0.929	0.986	1.59945031894819e-103	OPC-B
Akr1b8	1.25214765680718e-107	-0.280631680717162	0.016	0.284	4.15425028098918e-103	OPC-B
Sh2d5	1.52821981985546e-107	-0.541338919983692	0.104	0.478	5.07017489633446e-103	OPC-B
Pdgfa	1.91508571637094e-107	-0.697417795530975	0.345	0.75	6.35367988120385e-103	OPC-B
Vxn	2.62907633493008e-107	0.85856501816343	0.723	0.378	8.72248655639752e-103	OPC-A
Nhp2	5.18688051837048e-107	-0.571385148473918	0.527	0.915	1.72085134957977e-102	OPC-B
Nap1l5	2.13512557302632e-106	0.686178936877795	0.886	0.773	7.08370611362941e-102	OPC-A
Qk	2.34923267925236e-106	0.653788656440951	0.938	0.911	7.79404925995556e-102	OPC-A
Ccl2	6.57829995819622e-106	-1.72834964031148	0.143	0.526	2.18248257713076e-101	OPC-B
Msn	1.03301754201576e-105	-0.639598470498692	0.404	0.817	3.42724229914569e-101	OPC-B
Enpp2	1.03544724546219e-105	0.772370439325154	0.731	0.421	3.4353033262699e-101	OPC-A
Clcf1	1.84513236005209e-105	-0.238740983392904	0.016	0.281	6.1215956309448e-101	OPC-B
Cltb	2.00574674592945e-105	-0.59695200476896	0.734	0.938	6.65446597897013e-101	OPC-B
Mmd2	3.77710101388328e-105	0.772829813470252	0.695	0.305	1.25312880337606e-100	OPC-A
Epn2	5.90948021672823e-104	1.01778382111561	0.765	0.584	1.96058825150393e-99	OPC-A
Fxyd5	6.93749478690804e-104	-0.501770704754638	0.093	0.465	2.30165264545248e-99	OPC-B
Tmod1	1.28007843977809e-103	-0.400016368017558	0.124	0.517	4.24691623965176e-99	OPC-B
Rpl37	1.16365310656509e-102	-0.454731523435168	0.99	0.999	3.86065191165099e-98	OPC-B
Pdlim7	1.46612031130614e-102	-0.465544053974427	0.177	0.61	4.86414735682039e-98	OPC-B
C1ql1	6.50578459122666e-102	1.07783020682434	0.808	0.594	2.15842415383127e-97	OPC-A
Rpl13a	7.90252463281035e-102	-0.608268398323242	0.952	0.994	2.62182059742749e-97	OPC-B
Smim3	2.0541821908874e-101	-0.577669269422045	0.189	0.607	6.81516025470713e-97	OPC-B
Tm4sf1	5.35171014328349e-101	-1.14402085523115	0.239	0.665	1.77553687423716e-96	OPC-B
Rpl5	1.07811842289178e-99	-0.400870887736813	0.939	0.991	3.57687349162805e-95	OPC-B
Gas7	5.50773460365311e-99	-0.430034460097805	0.106	0.478	1.82730110945399e-94	OPC-B
Ankrd50	1.24864244944451e-98	-0.53948822977911	0.124	0.478	4.14262105452204e-94	OPC-B
Rpl37a	2.03626806414397e-98	-0.465428923026126	0.995	0.999	6.75572655641044e-94	OPC-B
Actg1	2.5556661358938e-98	-0.45810752616642	0.988	0.999	8.47893353905485e-94	OPC-B
Layn	4.62933863406514e-98	-0.320978102632054	0.059	0.374	1.53587567862379e-93	OPC-B
Cdkn1a	7.90696278662246e-98	-0.782478735677413	0.472	0.878	2.62329304371773e-93	OPC-B
Pcdh15	4.39272018295579e-97	0.822644423137926	0.66	0.338	1.45737277509924e-92	OPC-A
Rpl23a	9.03693586797151e-97	-0.566915615971497	0.983	0.994	2.99818421291691e-92	OPC-B
Kitl	1.01531756964887e-96	-0.457284416525315	0.094	0.447	3.36851910082405e-92	OPC-B
Thbd	1.40638842034657e-96	-0.752969726368806	0.016	0.26	4.66597486218381e-92	OPC-B
Gapdh	8.12238744052066e-96	-0.50233704560723	0.955	0.982	2.69476448114154e-91	OPC-B
Slco2a1	1.11240547593837e-95	-0.761610911042393	0.015	0.255	3.69062764752072e-91	OPC-B
Trabd2b	1.13108110080311e-95	-0.208786650494038	0.006	0.226	3.75258776813448e-91	OPC-B
Rpl22	1.27398911715369e-95	-0.440104412987393	0.919	0.986	4.2267136939808e-91	OPC-B
Rpl31	1.68320490930653e-95	-0.572786363166514	0.959	0.992	5.58436892760628e-91	OPC-B
Olig2	1.90128192329448e-95	0.964533503313721	0.755	0.518	6.30788303691409e-91	OPC-A
Scg5	2.72642270994654e-95	0.759477194964849	0.748	0.503	9.04545262478964e-91	OPC-A
Fez1	5.47985018276931e-95	0.56777744166733	0.883	0.844	1.81804989513737e-90	OPC-A
Sirt2	1.09873806389737e-94	0.674075081492286	0.933	0.905	3.64528327459232e-90	OPC-A
Gpr17	2.62048103246256e-94	1.06357387691001	0.567	0.142	8.69396992140104e-90	OPC-A
Atp1a2	1.34413383792457e-93	0.673696002925954	0.866	0.756	4.45943283408236e-89	OPC-A
Lrp1b	5.48023735829642e-93	0.792541144158207	0.69	0.419	1.818178348362e-88	OPC-A
Rps14	1.58490655189003e-92	-0.452575633738534	0.991	0.997	5.25824446720557e-88	OPC-B
Cycs	7.93000595834493e-92	-0.530438461562475	0.745	0.969	2.6309380768001e-87	OPC-B
Crym	7.04964869376849e-91	-0.607460727362701	0.032	0.294	2.33886194713157e-86	OPC-B
Eif4ebp1	3.76543142833116e-90	-0.361787422338504	0.115	0.479	1.24925718497743e-85	OPC-B
Rps21	6.92554830533861e-90	-0.406020390510987	0.955	0.992	2.29768916126219e-85	OPC-B
Nxph3	7.65112707776347e-90	-0.304228039817708	0.034	0.296	2.53841443058959e-85	OPC-B
Amotl1	2.2640472211501e-89	-0.463391852375917	0.212	0.601	7.51142946560969e-85	OPC-B
Axl	3.11247330499578e-89	-0.352221024147757	0.168	0.559	1.03262526839845e-84	OPC-B
Nptx1	3.78263582247594e-89	-0.767986764979651	0.195	0.55	1.25496508682284e-84	OPC-B
Myl12a	5.69234309397555e-89	-0.485655474770212	0.545	0.901	1.88854866828827e-84	OPC-B
Piezo1	4.15214923572147e-88	-0.204253125911617	0.022	0.263	1.37755855193531e-83	OPC-B
Gng11	4.56691822021122e-88	0.695481312414997	0.845	0.683	1.51516645791948e-83	OPC-A
Cd81	6.93060747123831e-88	0.506672223601021	0.998	0.992	2.29936764073274e-83	OPC-A
Qpct	1.34083031199034e-87	0.659896611932469	0.844	0.728	4.44847272609035e-83	OPC-A
Arl4d	5.42180406454326e-87	-0.475928155859473	0.094	0.419	1.79879193449352e-82	OPC-B
Scd2	5.49737906289687e-87	0.685866802679568	0.863	0.793	1.8238654516973e-82	OPC-A
Olfml3	6.68334232521399e-87	-0.412962807786835	0.162	0.548	2.21733248323624e-82	OPC-B
Rpl34	1.50042691745507e-86	-0.372464959491009	0.979	0.997	4.9779663840407e-82	OPC-B
Emilin1	1.66508456555503e-86	-0.277166860076896	0.016	0.242	5.52425106314193e-82	OPC-B
Tmsb10	2.27538801255525e-86	-0.686827262442271	0.824	0.982	7.54905480925456e-82	OPC-B
Ascl1	2.5153905552975e-86	0.807372706219715	0.562	0.182	8.34531124531053e-82	OPC-A
Trim47	3.50007963670394e-86	-0.292968241948827	0.08	0.394	1.16122142106927e-81	OPC-B
Emid1	1.50100933435758e-85	0.74813571163123	0.58	0.218	4.97989866859815e-81	OPC-A
Rpl30	1.62320055351632e-85	-0.381888686978525	0.958	0.992	5.38529247640109e-81	OPC-B
Ddx39	1.98368054713676e-85	-0.353643628981699	0.208	0.612	6.58125695123563e-81	OPC-B
Rps29	2.75353677796315e-85	-0.404488633007511	0.993	0.999	9.13540896824834e-81	OPC-B
Ldhb	2.83130418380921e-85	0.65924170923234	0.81	0.608	9.39341789062381e-81	OPC-A
Mrps6	1.36884397484102e-84	-0.663630076649452	0.421	0.796	4.54141365533005e-80	OPC-B
Pkig	1.67756271662727e-84	-0.414275945712914	0.28	0.7	5.56564982495429e-80	OPC-B
Cd109	2.17840937581676e-84	-0.282481795555991	0.036	0.291	7.22730878614725e-80	OPC-B
Omg	5.49741505281921e-84	0.717064672314019	0.61	0.263	1.82387739207383e-79	OPC-A
Sema5a	3.15422346429123e-83	0.677286199151473	0.428	0.053	1.0464767187479e-78	OPC-A
Ociad2	3.56732690372349e-82	-0.514304645817481	0.153	0.5	1.18353204684834e-77	OPC-B
Gria4	5.09329219052843e-82	0.820762046620531	0.629	0.366	1.68980155005162e-77	OPC-A
Hnrnpf	8.8701629548936e-82	-0.438358674153109	0.82	0.954	2.94285396354505e-77	OPC-B
Neat1	1.34886641597137e-81	-0.649225771343465	0.228	0.599	4.47513410826821e-77	OPC-B
Sulf2	2.09686318652609e-81	0.576085749653301	0.853	0.777	6.9567629939376e-77	OPC-A
Spon1	3.31447251783348e-81	0.701446110694337	0.72	0.508	1.09964254724161e-76	OPC-A
Tomm20	3.90361819313791e-81	-0.425990622423037	0.803	0.96	1.29510340793736e-76	OPC-B
Hspd1	6.50515651211546e-81	-0.486105521530334	0.712	0.934	2.15821577602455e-76	OPC-B
