"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","ensembl"
"104",2.24852729880176e-129,0.45121345061769,0.61,0.591,7.45993901923459e-125,"H-Microglia","Wsb1",0.019,"ENSMUSG00000017677"
"105",1.78727733844168e-128,0.432926472747145,0.596,0.575,5.92965002574796e-124,"H-Microglia","Mef2a",0.021,"ENSMUSG00000030557"
"106",5.8045451018955e-128,0.388541930818234,0.501,0.423,1.92577392845587e-123,"H-Microglia","Mertk",0.078,"ENSMUSG00000014361"
"107",8.21673425267493e-128,0.388979399394133,0.49,0.409,2.72606592300996e-123,"H-Microglia","Adap2",0.081,"ENSMUSG00000020709"
"108",9.41550947241024e-127,0.276622103291858,0.2,0.093,3.12378357766155e-122,"H-Microglia","Thrsp",0.107,"ENSMUSG00000035686"
"109",4.3009374416006e-126,0.274672926691262,0.282,0.162,1.42692201499983e-121,"H-Microglia","Capn3",0.12,"ENSMUSG00000079110"
"110",2.32996301054033e-123,0.299739278913623,0.839,0.835,7.73011828006966e-119,"H-Microglia","Btg1",0.004,"ENSMUSG00000036478"
"111",4.16130131064337e-121,0.333797945468413,0.695,0.678,1.38059493583215e-116,"H-Microglia","Plxdc2",0.0169999999999999,"ENSMUSG00000026748"
"112",1.23651951006084e-118,0.555560483306194,0.656,0.596,4.10240077852886e-114,"H-Microglia","Jund",0.0600000000000001,"ENSMUSG00000071076"
"113",7.48863770104643e-117,0.395818407688523,0.54,0.471,2.48450533007617e-112,"H-Microglia","Lst1",0.0690000000000001,"ENSMUSG00000073412"
"114",4.03262308488869e-116,0.377963347546471,0.46,0.377,1.33790336087352e-111,"H-Microglia","Usp2",0.083,"ENSMUSG00000032010"
"115",1.51863320929782e-115,0.417166970468128,0.509,0.445,5.03836939848739e-111,"H-Microglia","Maf",0.064,"ENSMUSG00000055435"
"116",4.67461379583094e-113,0.384419277977965,0.471,0.384,1.55089661904283e-108,"H-Microglia","Tmcc3",0.087,"ENSMUSG00000020023"
"117",5.88760004164111e-112,0.367832799094552,0.387,0.287,1.95332906581527e-107,"H-Microglia","Tanc2",0.1,"ENSMUSG00000053580"
"118",2.85730838716743e-111,0.374479484822541,0.737,0.732,9.47969203610539e-107,"H-Microglia","Ier3",0.005,"ENSMUSG00000003541"
"119",1.27532609524769e-109,0.39235854886583,0.409,0.315,4.23114938620325e-105,"H-Microglia","Il10ra",0.094,"ENSMUSG00000032089"
"120",2.53623030149541e-109,0.758599041067624,0.224,0.12,8.41445127127131e-105,"H-Microglia","Hspa1b",0.104,"ENSMUSG00000090877"
"121",2.96265449408419e-109,0.29828318742661,0.3,0.19,9.82919881502312e-105,"H-Microglia","Clec4a2",0.11,"ENSMUSG00000030148"
"122",5.94105744157374e-105,0.37050914855255,0.498,0.441,1.97106462739092e-100,"H-Microglia","Pla2g15",0.057,"ENSMUSG00000031903"
"123",6.1695560384172e-105,0.326689901323873,0.618,0.568,2.04687360686567e-100,"H-Microglia","Ypel3",0.05,"ENSMUSG00000042675"
"124",8.98898429493703e-104,0.342254940518665,0.608,0.589,2.98227531953126e-99,"H-Microglia","Eif4a2",0.019,"ENSMUSG00000022884"
"125",1.29477391354797e-101,0.367053048600687,0.4,0.309,4.29567141297811e-97,"H-Microglia","Mob3c",0.091,"ENSMUSG00000028709"
"126",2.86658947022105e-100,0.340992367019727,0.507,0.45,9.51048388535237e-96,"H-Microglia","Gna15",0.057,"ENSMUSG00000034792"
"127",5.43436405916137e-100,0.364749804531327,0.357,0.263,1.80295896390797e-95,"H-Microglia","Nav3",0.094,"ENSMUSG00000020181"
"128",5.79039713462551e-99,0.322773792459536,0.417,0.331,1.92108005735471e-94,"H-Microglia","Ctc1",0.086,"ENSMUSG00000020898"
"129",1.49871812663428e-98,0.441068824113212,0.587,0.556,4.97229712873456e-94,"H-Microglia","Pnrc1",0.0309999999999999,"ENSMUSG00000040128"
"130",6.25424951865279e-98,0.323465101635479,0.66,0.659,2.07497236280344e-93,"H-Microglia","Hk2",0.001,"ENSMUSG00000000628"
"131",7.18361090522511e-98,0.423184635109159,0.661,0.659,2.38330659002654e-93,"H-Microglia","Icam1",0.002,"ENSMUSG00000037405"
"132",8.04451766718141e-96,0.306201661050255,0.581,0.543,2.66892962644078e-91,"H-Microglia","Cd33",0.0379999999999999,"ENSMUSG00000004609"
"133",1.37732928441668e-94,0.31031930831329,0.582,0.572,4.56956536690923e-90,"H-Microglia","Inpp5d",0.01,"ENSMUSG00000026288"
"134",1.08439748553738e-93,0.453225355723339,0.192,0.1,3.59770553776738e-89,"H-Microglia","Dleu2",0.092,"ENSMUSG00000097589"
"135",9.88480075130498e-93,0.251795823490684,0.203,0.111,3.27948034526045e-88,"H-Microglia","Slc40a1",0.092,"ENSMUSG00000025993"
"136",1.6569749268018e-92,0.317025630610205,0.451,0.375,5.49734571465032e-88,"H-Microglia","Csf3r",0.076,"ENSMUSG00000028859"
"137",1.66282211786222e-92,0.328475878210862,0.565,0.535,5.5167449404315e-88,"H-Microglia","Smap2",0.0299999999999999,"ENSMUSG00000032870"
"138",2.0845179087461e-92,0.363201669171563,0.357,0.252,6.91580506584693e-88,"H-Microglia","Gng10",0.105,"ENSMUSG00000038607"
"139",2.99077095628357e-91,0.388836161507376,0.305,0.213,9.92248080166199e-87,"H-Microglia","Neurl3",0.092,"ENSMUSG00000047180"
"140",3.06993540897339e-91,0.4380739553187,0.521,0.466,1.0185124706351e-86,"H-Microglia","Tsc22d3",0.055,"ENSMUSG00000031431"
"141",5.1983715507059e-91,0.282327875145813,0.623,0.618,1.72466372937769e-86,"H-Microglia","Daglb",0.005,"ENSMUSG00000039206"
"142",6.37698196914878e-91,0.329689217842307,0.489,0.441,2.11569130790449e-86,"H-Microglia","Cttnbp2nl",0.048,"ENSMUSG00000062127"
"143",2.39380290887763e-90,0.475710845851638,0.708,0.702,7.94191991078333e-86,"H-Microglia","Dusp1",0.00600000000000001,"ENSMUSG00000024190"
"144",2.87210004269556e-86,0.304791508400748,0.385,0.3,9.52876631165107e-82,"H-Microglia","Rogdi",0.085,"ENSMUSG00000022540"
"145",9.6660819078856e-86,0.429984241686658,0.437,0.377,3.20691599457921e-81,"H-Microglia","Adap2os",0.06,"ENSMUSG00000086507"
"146",6.74153645098267e-85,0.283016421368026,0.245,0.155,2.23663954834252e-80,"H-Microglia","Lrba",0.09,"ENSMUSG00000028080"
"147",3.9256165386884e-83,0.342163320828933,0.351,0.265,1.30240179904065e-78,"H-Microglia","Smad7",0.086,"ENSMUSG00000025880"
"148",1.56556626166013e-82,0.2645438494005,0.664,0.662,5.19407918630981e-78,"H-Microglia","Limd2",0.002,"ENSMUSG00000040699"
"149",2.7902057626356e-81,0.326315468440813,0.477,0.434,9.25706565869612e-77,"H-Microglia","Pde3b",0.043,"ENSMUSG00000030671"
"150",1.80035897937464e-79,0.267387200322128,0.198,0.114,5.97305098587123e-75,"H-Microglia","Serpinf1",0.084,"ENSMUSG00000000753"
"151",4.78918707080185e-79,0.293060722634435,0.47,0.421,1.58890859447993e-74,"H-Microglia","Rps6ka1",0.049,"ENSMUSG00000003644"
"152",6.90254101199574e-79,0.251773663825292,0.691,0.652,2.29005603154983e-74,"H-Microglia","Tmem176a",0.0389999999999999,"ENSMUSG00000023367"
"153",8.95879840877375e-79,0.304319023958021,0.583,0.576,2.97226054807887e-74,"H-Microglia","Tpst2",0.00700000000000001,"ENSMUSG00000029344"
"154",1.40466960007494e-76,0.414854823250418,0.514,0.493,4.66027233216863e-72,"H-Microglia","Jmjd1c",0.021,"ENSMUSG00000037876"
"155",2.48415291957275e-74,0.342436968396545,0.346,0.274,8.24167414126651e-70,"H-Microglia","Nrip1",0.072,"ENSMUSG00000048490"
"156",4.88986936935651e-74,0.291505488858843,0.401,0.337,1.62231196067141e-69,"H-Microglia","Slc29a3",0.064,"ENSMUSG00000020100"
"157",1.76725158811073e-72,0.278574911292672,0.45,0.397,5.86321059387496e-68,"H-Microglia","Mtus1",0.053,"ENSMUSG00000045636"
"158",5.21144513915306e-72,0.363499834808764,0.412,0.348,1.72900115381681e-67,"H-Microglia","Dusp6",0.064,"ENSMUSG00000019960"
"159",7.6347284548599e-72,0.283598250053722,0.425,0.354,2.53297385946887e-67,"H-Microglia","Klk8",0.071,"ENSMUSG00000064023"
"160",2.12006312789526e-71,0.26492676945835,0.562,0.516,7.03373343941811e-67,"H-Microglia","Cd34",0.046,"ENSMUSG00000016494"
"161",1.90921031429892e-70,0.343686134407627,0.471,0.431,6.33418705974954e-66,"H-Microglia","Arhgap45",0.04,"ENSMUSG00000035697"
"162",7.68359154548679e-70,0.31596030593576,0.34,0.268,2.54918516704615e-65,"H-Microglia","Inka1",0.072,"ENSMUSG00000042106"
"163",2.30083110393644e-67,0.271088417612328,0.31,0.236,7.63346735352992e-63,"H-Microglia","Frmd4b",0.074,"ENSMUSG00000030064"
"164",5.3514161702096e-67,0.534674372305487,0.382,0.311,1.77543934279044e-62,"H-Microglia","Klf4",0.071,"ENSMUSG00000003032"
"165",7.42766662868726e-67,0.300188412734189,0.445,0.397,2.46427695739957e-62,"H-Microglia","Rasgrp3",0.048,"ENSMUSG00000071042"
"166",7.51918923492155e-67,0.474551044086578,0.44,0.399,2.49464141246992e-62,"H-Microglia","Gpr183",0.041,"ENSMUSG00000051212"
"167",1.08869315279545e-66,0.293179529244409,0.552,0.525,3.61195727302947e-62,"H-Microglia","Ecscr",0.027,"ENSMUSG00000073599"
"168",4.06376897058144e-65,0.274360738196268,0.394,0.333,1.3482366313698e-60,"H-Microglia","Hps4",0.061,"ENSMUSG00000042328"
"169",4.2334619816599e-62,0.309120756473945,0.446,0.408,1.40453568165531e-57,"H-Microglia","Pik3r1",0.038,"ENSMUSG00000041417"
"170",1.19998537833112e-60,0.286572661068556,0.389,0.338,3.98119148968917e-56,"H-Microglia","Ikzf1",0.051,"ENSMUSG00000018654"
"171",3.6937666521426e-60,0.281411492468727,0.466,0.437,1.22548096218135e-55,"H-Microglia","Csnk1e",0.029,"ENSMUSG00000022433"
"172",3.80096714311351e-60,0.401852368459491,0.467,0.429,1.26104686907077e-55,"H-Microglia","Gem",0.038,"ENSMUSG00000028214"
"173",2.2640459003977e-58,0.344993254547838,0.211,0.136,7.51142508374946e-54,"H-Microglia","2410006H16Rik",0.075,"ENSMUSG00000086841"
"174",4.32062701909252e-58,0.334081738939833,0.419,0.384,1.43345442612432e-53,"H-Microglia","Elmo1",0.035,"ENSMUSG00000041112"
"175",1.0422654899897e-56,0.344478973771517,0.706,0.703,3.45792421613882e-52,"H-Microglia","Sgk1",0.003,"ENSMUSG00000019970"
"176",6.2578058262682e-56,0.260102343493592,0.304,0.235,2.076152238981e-51,"H-Microglia","Cryba4",0.069,"ENSMUSG00000066975"
"177",2.90956864781109e-55,0.253618743925304,0.289,0.221,9.65307590284286e-51,"H-Microglia","Nuak1",0.068,"ENSMUSG00000020032"
"178",3.41016720434327e-54,0.265665542164648,0.317,0.258,1.13139117338497e-49,"H-Microglia","0610040J01Rik",0.059,"ENSMUSG00000060512"
"179",1.33756013799758e-51,0.328065153624463,0.472,0.466,4.43762326983457e-47,"H-Microglia","Slc38a2",0.00599999999999995,"ENSMUSG00000022462"
"180",1.4974113561013e-51,0.263227706479818,0.376,0.326,4.96796165613727e-47,"H-Microglia","Rcsd1",0.05,"ENSMUSG00000040723"
"181",4.19638057536015e-50,0.306543894911759,0.341,0.285,1.39223318348724e-45,"H-Microglia","Tsc22d2",0.056,"ENSMUSG00000027806"
