	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Pou3f3	0	0.295042562048513	0.237	0.006	0
Rab10	0	0.29484510958335	0.631	0.477	0
Clip4	0	0.294746933825351	0.249	0.008	0
Dok5	0	0.294657210657329	0.26	0.008	0
Agap1	0	0.294215376133332	0.293	0.08	0
Ndufb10	0	0.294016614484173	0.806	0.651	0
Uqcr11	0	0.293910998630601	0.945	0.854	0
Slc41a1	0	0.293875356289479	0.278	0.067	0
Ewsr1	0	0.293766134518014	0.698	0.51	0
Ptgfrn	0	0.293765570300423	0.245	0.106	0
Sesn3	0	0.29369840871096	0.314	0.063	0
Acsbg1	0	0.293518315652823	0.103	0.016	0
Bicd1	0	0.292851423255503	0.24	0.013	0
Ndufa5	0	0.2928334452336	0.681	0.52	0
Matr3	0	0.29272797158247	0.561	0.34	0
Dag1	0	0.292719437226589	0.394	0.163	0
Mat2a	0	0.292639929789272	0.7	0.557	0
Fnta	0	0.292385890871945	0.469	0.257	0
Myo10	0	0.292280581360287	0.385	0.139	0
Cyhr1	0	0.292195910725298	0.43	0.178	0
Hnrnpa1	0	0.291964831398801	0.815	0.707	0
Rpgr	0	0.291778426087673	0.249	0.017	0
Paics	0	0.291541665973454	0.504	0.276	0
Morn5	0	0.291504739534955	0.22	0.003	0
Abca2	0	0.291339887438664	0.2	0.051	0
Tnrc6b	0	0.290537255822998	0.42	0.204	0
Grm5	0	0.290467526274036	0.14	0.007	0
Tmem63b	0	0.289913586268646	0.305	0.083	0
Sobp	0	0.289575372442161	0.264	0.023	0
Tm7sf3	0	0.289559074290653	0.311	0.098	0
Arhgap21	0	0.289422621884417	0.287	0.054	0
C230072F16Rik	0	0.28932100206424	0.199	0.001	0
Maged2	0	0.289216372853005	0.343	0.101	0
Tmem246	0	0.289215392109376	0.311	0.033	0
Hacd1	0	0.289082620702717	0.351	0.096	0
Gm17750	0	0.288996523559335	0.23	0.005	0
Timp1	0	0.288785760821939	0.244	0.116	0
Stk32a	0	0.288687054104068	0.187	0.004	0
mt-Nd1	0	0.288680999416464	0.999	0.996	0
Hnrnpa2b1	0	0.28831093182917	0.932	0.857	0
