""	"p.value"	"FDR"	"gene"	"cluster"
"P2ry12"	3.15585072266403e-46	1.04701659425825e-41	"P2ry12"	"C0"
"Gpr34"	5.34868684483004e-36	8.87266917254632e-32	"Gpr34"	"C0"
"Cst3"	2.57176235836558e-35	2.84411199211651e-31	"Cst3"	"C0"
"Hexb"	5.14108345664226e-34	4.26414314602551e-30	"Hexb"	"C0"
"Csf1r"	1.31421545676116e-26	8.72034524179298e-23	"Csf1r"	"C0"
"Sparc"	3.47988322292583e-24	1.92420142811683e-20	"Sparc"	"C0"
"mt-Cytb"	1.36942304170842e-19	6.4904783221086e-16	"mt-Cytb"	"C0"
"Tmem119"	1.61178879903935e-19	6.68428962321606e-16	"Tmem119"	"C0"
"Ptgs1"	4.09566083721389e-19	1.50979710662495e-15	"Ptgs1"	"C0"
"Cd81"	3.42073044326481e-17	1.13489573916196e-13	"Cd81"	"C0"
"Cx3cr1"	2.50364759834054e-15	7.16958015231231e-12	"Cx3cr1"	"C0"
"Siglech"	2.59321101449039e-15	7.16958015231231e-12	"Siglech"	"C0"
"Junb"	3.22278907233871e-15	8.22480561946012e-12	"Junb"	"C0"
"Otulinl"	1.49132103275086e-13	3.53411127882681e-10	"Otulinl"	"C0"
"Mef2c"	2.76003617835468e-13	6.10464801928487e-10	"Mef2c"	"C0"
"Fscn1"	8.02174856601272e-13	1.66335970109128e-09	"Fscn1"	"C0"
"Olfml3"	1.54450787600909e-11	3.01424340013846e-08	"Olfml3"	"C0"
"Kctd12"	2.5947406465084e-11	4.78253946828939e-08	"Kctd12"	"C0"
"Rpl10a"	1.28529007608309e-10	2.13688161684895e-07	"Rpl10a"	"C0"
"Ckb"	1.28817048970609e-10	2.13688161684895e-07	"Ckb"	"C0"
"Zfhx3"	1.68609710440224e-10	2.66379255394062e-07	"Zfhx3"	"C0"
"mt-Nd4"	4.20849950479281e-10	6.34660854865959e-07	"mt-Nd4"	"C0"
"Man2b1"	7.07340450843781e-10	1.02032322337583e-06	"Man2b1"	"C0"
"Rpl27a"	2.25640263969704e-09	3.1191945990512e-06	"Rpl27a"	"C0"
"Hpgds"	2.57561663756177e-09	3.41804932737548e-06	"Hpgds"	"C0"
"Nfkbia"	1.06404320585855e-08	1.3577600554142e-05	"Nfkbia"	"C0"
"Rps21"	1.13202894525755e-08	1.39101201173369e-05	"Rps21"	"C0"
"Rpl7a"	3.03460683483736e-08	3.59568396283568e-05	"Rpl7a"	"C0"
"Glul"	3.2430283688367e-08	3.71013628251363e-05	"Glul"	"C0"
"Bin1"	4.42703383882146e-08	4.89585672235266e-05	"Bin1"	"C0"
"Sft2d1"	5.97100569947216e-08	6.39032439004477e-05	"Sft2d1"	"C0"
"Ldhb"	7.39747021236258e-08	7.66955841361105e-05	"Ldhb"	"C0"
"Fcgr3"	7.79933183565922e-08	7.84116461550503e-05	"Fcgr3"	"C0"
"Pabpc1"	4.89766359526249e-07	0.000477911132647128	"Pabpc1"	"C0"
"Bcl2a1b"	1.18021539249757e-28	3.91560060768921e-24	"Bcl2a1b"	"C1"
"Bcl2a1a"	1.65441741802456e-18	2.74443033389005e-14	"Bcl2a1a"	"C1"
"Cd83"	3.30278263091733e-15	3.65254731153147e-11	"Cd83"	"C1"
"Nfkbiz"	1.15505329817978e-11	9.58030081842765e-08	"Nfkbiz"	"C1"
"Fcrls"	2.7990532170986e-11	1.8572837716736e-07	"Fcrls"	"C1"
"Gadd45b"	6.14764497682697e-10	3.39934028993647e-06	"Gadd45b"	"C1"
"Nab2"	1.25350068980858e-09	5.94105605511131e-06	"Nab2"	"C1"
"Tlr2"	9.03907722390536e-09	3.74861831321885e-05	"Tlr2"	"C1"
"Cst7"	6.1976173322922e-08	0.000228464833592731	"Cst7"	"C1"
"Il1a"	1.98318204925625e-07	0.000657960308481746	"Il1a"	"C1"
"Ftl1"	1.81555721429959e-115	6.02347416988167e-111	"Ftl1"	"C2"
"Fabp5"	8.73725625087669e-89	1.44937975317666e-84	"Fabp5"	"C2"
"Lgals3"	2.37263859980308e-65	2.6239010275222e-61	"Lgals3"	"C2"
"Psap"	3.18186241721651e-60	2.6391162353998e-56	"Psap"	"C2"
"Cyba"	4.36394040172618e-45	2.89564901416139e-41	"Cyba"	"C2"
"Pdpn"	8.49772883659747e-40	4.69881916019659e-36	"Pdpn"	"C2"
"Ftl1-ps1"	7.50627931641051e-38	3.55765469829357e-34	"Ftl1-ps1"	"C2"
"Anxa5"	1.9281750146134e-33	7.9963828074786e-30	"Anxa5"	"C2"
"Ap3s1"	1.4177849007334e-28	5.22642773907024e-25	"Ap3s1"	"C2"
"Akr1a1"	3.19197032808032e-27	1.05899999574721e-23	"Akr1a1"	"C2"
"Arg1"	1.85594811206801e-26	5.59770822855276e-23	"Arg1"	"C2"
"Plin2"	1.09918281928463e-24	3.03896569961718e-21	"Plin2"	"C2"
"Lgals1"	5.91025465760155e-24	1.50834245211728e-20	"Lgals1"	"C2"
"Hilpda"	1.05222565494232e-23	2.49354932528723e-20	"Hilpda"	"C2"
"Atp6v1g1"	1.9729122382056e-23	4.36368728846315e-20	"Atp6v1g1"	"C2"
"Prdx1"	3.75234140557996e-21	7.78071442580786e-18	"Prdx1"	"C2"
"Anxa4"	9.27859321291326e-20	1.81079933544014e-16	"Anxa4"	"C2"
"Bax"	8.76779562236818e-18	1.61605086312949e-14	"Bax"	"C2"
"Vat1"	4.75163043300487e-17	8.09653843665074e-14	"Vat1"	"C2"
"Pgam1"	4.88081408002576e-17	8.09653843665074e-14	"Pgam1"	"C2"
"Atp6v1c1"	5.9058571596066e-17	9.33041061829848e-14	"Atp6v1c1"	"C2"
"Prdx6"	2.18028159479098e-14	3.28796374865365e-11	"Prdx6"	"C2"
"Atp6v1d"	7.49560253219986e-14	1.08122437048172e-10	"Atp6v1d"	"C2"
"Atp6v1b2"	1.17122809286813e-13	1.61907643487858e-10	"Atp6v1b2"	"C2"
"Slc27a1"	2.21044205802926e-12	2.93343344636947e-09	"Slc27a1"	"C2"
"Rilpl2"	6.10760997097537e-12	7.53330845968449e-09	"Rilpl2"	"C2"
"Ninj1"	6.13073299006786e-12	7.53330845968449e-09	"Ninj1"	"C2"
"Atp6v0e"	2.15390019609812e-11	2.55214095735527e-08	"Atp6v0e"	"C2"
"Soat1"	2.64814882274822e-11	3.02957356870061e-08	"Soat1"	"C2"
"Spp1"	4.69161092426599e-10	5.18845252114576e-07	"Spp1"	"C2"
"Myof"	7.19552605205148e-10	7.70083767190039e-07	"Myof"	"C2"
"Gabarap"	9.0779877359336e-10	9.41188747234592e-07	"Gabarap"	"C2"
"Gpr137b"	3.69931899332943e-08	3.71916079520274e-05	"Gpr137b"	"C2"
"Lamtor3"	4.27037511533135e-08	4.16700691768671e-05	"Lamtor3"	"C2"
"Atp6v0d1"	4.47662693554699e-08	4.24345862401835e-05	"Atp6v0d1"	"C2"
"Capg"	1.02083502404671e-07	9.4078454424438e-05	"Capg"	"C2"
"Sgk1"	3.15377357781757e-07	0.000282791205381766	"Sgk1"	"C2"
"Fnip2"	5.00301883204445e-07	0.000436803041554575	"Fnip2"	"C2"
"Atp6v1a"	6.11203830583011e-07	0.00051994639710904	"Atp6v1a"	"C2"
"Gpx4"	7.77008767878093e-07	0.000644470497297287	"Gpx4"	"C2"
"Mcfd2"	9.20851052179675e-07	0.000745148179467441	"Mcfd2"	"C2"
"Tmsb4x"	4.24526634353647e-94	1.40845201479508e-89	"Tmsb4x"	"C3"
"Phgdh"	2.86339175810291e-43	4.74993741792902e-39	"Phgdh"	"C3"
"Hmgn1"	3.32678957121102e-39	3.67909658680228e-35	"Hmgn1"	"C3"
"Psat1"	7.29854367224741e-24	6.05359458535381e-20	"Psat1"	"C3"
"Lsm6"	3.43124456475326e-23	2.27676801849638e-19	"Lsm6"	"C3"
"Erp29"	1.08272235374199e-20	5.98691325501636e-17	"Erp29"	"C3"
"Slc25a4"	3.9719537120218e-18	1.88253583291068e-14	"Slc25a4"	"C3"
"Gpaa1"	1.08946730471599e-17	4.51815709607028e-14	"Gpaa1"	"C3"
"Dynll2"	4.52561037088277e-16	1.66829083638642e-12	"Dynll2"	"C3"
"Ncl"	2.46178990088499e-15	8.16748035416614e-12	"Ncl"	"C3"
"Gatm"	6.21610918593003e-15	1.87483504056001e-11	"Gatm"	"C3"
"Apex1"	1.88739305170925e-13	4.99052803084711e-10	"Apex1"	"C3"
"Hacd2"	1.95547711972187e-13	4.99052803084711e-10	"Hacd2"	"C3"
"Hnrnpa1"	8.21154063362233e-13	1.94595916858349e-09	"Hnrnpa1"	"C3"
"Ndufc2"	1.61954024535101e-12	3.58209911466737e-09	"Ndufc2"	"C3"
"Tuba1b"	5.21139996321944e-12	1.02738085751648e-08	"Tuba1b"	"C3"
"Nudc"	5.26433209084006e-12	1.02738085751648e-08	"Nudc"	"C3"
"Vdac2"	9.95006011564007e-12	1.83396191364772e-08	"Vdac2"	"C3"
"Ncln"	1.29061740962803e-11	2.2536217789068e-08	"Ncln"	"C3"
"Cdc37"	1.74981291509694e-11	2.90267715420856e-08	"Cdc37"	"C3"
"Suclg2"	4.81147579094684e-11	7.60144439601159e-08	"Suclg2"	"C3"
"Arpc5l"	2.89049044971254e-10	4.35899098409604e-07	"Arpc5l"	"C3"
"Ssb"	6.28998645370031e-10	9.07316872062675e-07	"Ssb"	"C3"
"G3bp1"	6.57957696873044e-10	9.09544271214875e-07	"G3bp1"	"C3"
"Pebp1"	2.46141802966862e-09	3.26649863881263e-06	"Pebp1"	"C3"
"Gm17018"	2.71515171126461e-09	3.46463801248561e-06	"Gm17018"	"C3"
"Trp53"	5.49439628741237e-09	6.75139206027705e-06	"Trp53"	"C3"
"Gps1"	5.98361740692711e-09	7.08994552534359e-06	"Gps1"	"C3"
"Micos13"	7.38268225444241e-09	8.40495843769507e-06	"Micos13"	"C3"
"Snrpb"	7.60010709620677e-09	8.40495843769507e-06	"Snrpb"	"C3"
"Mcrip2"	8.69081752538011e-09	9.30113719482374e-06	"Mcrip2"	"C3"
"Prmt1"	1.3051083616447e-08	1.35311187857145e-05	"Prmt1"	"C3"
"Mrps11"	2.03154419442757e-08	2.04244065874314e-05	"Mrps11"	"C3"
"Shmt2"	2.50542513449742e-08	2.44477910844768e-05	"Shmt2"	"C3"
"Ppp1r14b"	3.8380791539089e-08	3.63817005969244e-05	"Ppp1r14b"	"C3"
"Atp5g2"	4.68220112937471e-08	4.31503852414624e-05	"Atp5g2"	"C3"
"Cdk2ap1"	6.23508935896433e-08	5.59085296384755e-05	"Cdk2ap1"	"C3"
"Ndufa4"	7.63543360850488e-08	6.66633633761491e-05	"Ndufa4"	"C3"
"Serf1"	8.31355572878258e-08	7.07227790804666e-05	"Serf1"	"C3"
"Nxt2"	9.8853233047783e-08	8.19913428206573e-05	"Nxt2"	"C3"
"3110082I17Rik"	1.29661203969887e-07	0.000104921213758754	"3110082I17Rik"	"C3"
"AU020206"	1.96725414255572e-07	0.000155399025446598	"AU020206"	"C3"
"Mrfap1"	2.34953610558111e-07	0.00018128037063922	"Mrfap1"	"C3"
"Npepl1"	2.5174897219866e-07	0.000189824446605339	"Npepl1"	"C3"
"Pcyox1l"	4.20163268303226e-07	0.000309772372277692	"Pcyox1l"	"C3"
"Cnbp"	4.97076168647824e-07	0.00035851078363541	"Cnbp"	"C3"
"Tubb5"	7.3957015743136e-07	0.000522057853470218	"Tubb5"	"C3"
"Tmem147"	8.07046383327437e-07	0.000557820372076133	"Tmem147"	"C3"
"Impdh2"	9.67989909832136e-07	0.000655408188540832	"Impdh2"	"C3"
"Cryl1"	1.29157769314888e-06	0.00085701346251201	"Cryl1"	"C3"
"Scaf11"	1.38697768699359e-06	0.000895069800364147	"Scaf11"	"C3"
"Ptpa"	1.40288843532977e-06	0.000895069800364147	"Ptpa"	"C3"
"Oxct1"	1.44819853392694e-06	0.000906544957737623	"Oxct1"	"C3"
"Lyz2"	1.84119982980191e-55	6.10854867533382e-51	"Lyz2"	"C4"
"Apoe"	3.41395868954801e-42	5.66324537215673e-38	"Apoe"	"C4"
"AB124611"	1.0481097380955e-17	1.15910455935982e-13	"AB124611"	"C4"
"Smpdl3a"	1.10402782860416e-11	9.15708281740005e-08	"Smpdl3a"	"C4"
"Rgs1"	3.92174903440713e-11	2.60223735429051e-07	"Rgs1"	"C4"
"Npc2"	8.50122413285706e-09	4.03526470011509e-05	"Npc2"	"C4"
"Mpeg1"	8.51398646677083e-09	4.03526470011509e-05	"Mpeg1"	"C4"
"H2-D1"	1.35581366911894e-07	0.000562272876254488	"H2-D1"	"C4"
"Anxa2"	1.60320767413374e-100	5.31896210047346e-96	"Anxa2"	"C5"
"F10"	6.43525660361673e-90	1.06751254169095e-85	"F10"	"C5"
"S100a10"	1.43998173207708e-76	1.59247579750403e-72	"S100a10"	"C5"
"Fn1"	1.12468494603953e-66	9.3284181136882e-63	"Fn1"	"C5"
"Plaur"	2.28425411925089e-49	1.51569397828774e-45	"Plaur"	"C5"
"Sem1"	2.087968458469e-40	1.15454215911044e-36	"Sem1"	"C5"
"Chil3"	3.35481666124092e-39	1.59003931957128e-35	"Chil3"	"C5"
"S100a4"	1.42047639487312e-35	5.89089316908817e-32	"S100a4"	"C5"
"Tgfbi"	1.02939679044469e-31	3.79469970184262e-28	"Tgfbi"	"C5"
"Vim"	7.30219719219592e-31	2.42264996245484e-27	"Vim"	"C5"
"Myl12a"	1.5706746734506e-30	4.73729760373369e-27	"Myl12a"	"C5"
"Itgb2"	1.72408912223439e-26	4.76667540069754e-23	"Itgb2"	"C5"
"Eno1"	1.99807135821603e-26	5.09923180396407e-23	"Eno1"	"C5"
"Aprt"	1.19456318121537e-25	2.83085876165587e-22	"Aprt"	"C5"
"S100a13"	4.03813886521306e-22	8.93155554207828e-19	"S100a13"	"C5"
"Arpc2"	4.62329092625833e-22	9.58668269127958e-19	"Arpc2"	"C5"
"Sirpb1c"	1.24018017738489e-21	2.42032104382932e-18	"Sirpb1c"	"C5"
"Gng5"	7.31860917099002e-21	1.34894164703298e-17	"Gng5"	"C5"
"Tmsb10"	1.47727597025649e-18	2.57955709816839e-15	"Tmsb10"	"C5"
"Rhoa"	2.15259963007222e-17	3.57083989634531e-14	"Rhoa"	"C5"
"Sec61b"	1.43338829244853e-16	2.26454873231262e-13	"Sec61b"	"C5"
"Pfn1"	4.03345459289955e-16	6.08263286493765e-13	"Pfn1"	"C5"
"Dynll1"	4.54663189197532e-16	6.55841766435066e-13	"Dynll1"	"C5"
"Sec61g"	4.93390999266671e-16	6.82051382611265e-13	"Sec61g"	"C5"
"Tgm2"	1.01302081268065e-15	1.34435966009223e-12	"Tgm2"	"C5"
"Tspo"	4.64571682216781e-15	5.92811334650237e-12	"Tspo"	"C5"
"Chmp2a"	7.51952560538723e-15	9.23982596333082e-12	"Chmp2a"	"C5"
"Vcan"	1.56293689179701e-14	1.85191275925533e-11	"Vcan"	"C5"
"Arpc1b"	9.53395854116789e-14	1.09071773282871e-10	"Arpc1b"	"C5"
"Ahnak"	4.55684899605645e-13	5.03941930473883e-10	"Ahnak"	"C5"
"Ccr2"	3.17540669961162e-12	3.3984021959037e-09	"Ccr2"	"C5"
"H2aj"	3.74887316685766e-12	3.88676140802614e-09	"H2aj"	"C5"
"Ube2d3"	6.39983055901429e-12	6.43415692292173e-09	"Ube2d3"	"C5"
"Cox17"	4.75331557711026e-11	4.63825737946432e-08	"Cox17"	"C5"
"Emp3"	7.26513991031757e-11	6.88672990870302e-08	"Emp3"	"C5"
"Ccl6"	2.06994463628436e-10	1.90762647772239e-07	"Ccl6"	"C5"
"Dmkn"	1.10978144203426e-09	9.95114024388391e-07	"Dmkn"	"C5"
"Prelid1"	1.88602116229781e-09	1.64664537109353e-06	"Prelid1"	"C5"
"Fcer1g"	6.4296878956238e-09	5.46968603366951e-06	"Fcer1g"	"C5"
"Ms4a8a"	7.48649625047193e-09	6.20948715254767e-06	"Ms4a8a"	"C5"
"Serf2"	1.21035205019869e-08	9.79410974864433e-06	"Serf2"	"C5"
"Plac8"	5.71420616328795e-08	4.51381471141439e-05	"Plac8"	"C5"
"H3f3b"	1.55381374668099e-07	0.000119885764357292	"H3f3b"	"C5"
"Rpl36al"	1.89611344264335e-07	0.000142971262924042	"Rpl36al"	"C5"
"Clic1"	2.56018693829614e-07	0.000188754049004113	"Clic1"	"C5"
"Cnih4"	2.80924447008147e-07	0.000202613703878028	"Cnih4"	"C5"
"Serp1"	4.20766661244755e-07	0.000297016500428026	"Serp1"	"C5"
"Cdc42"	4.66867712159641e-07	0.000322693126798342	"Cdc42"	"C5"
"Fkbp1a"	9.54049250160444e-07	0.000645969223930062	"Fkbp1a"	"C5"
"Ubl5"	9.92776638273713e-07	0.000658747010560139	"Ubl5"	"C5"
"Ankrd37"	1.03240034594728e-06	0.000671606789754765	"Ankrd37"	"C5"
"Mmp9"	2.80771534003567e-80	9.31515718363623e-76	"Mmp9"	"C6"
"Vasp"	3.14061338832281e-77	5.20980651921922e-73	"Vasp"	"C6"
"Hdc"	2.15141661100096e-70	2.37925163010594e-66	"Hdc"	"C6"
"Cd24a"	1.43198781780821e-67	1.18772649578556e-63	"Cd24a"	"C6"
"Srgn"	5.02687479477228e-66	3.3355325013232e-62	"Srgn"	"C6"
"Samsn1"	1.25127848712106e-65	6.91894439453585e-62	"Samsn1"	"C6"
"Il1r2"	6.53351347826476e-65	3.09660538097702e-61	"Il1r2"	"C6"
"Retnlg"	1.99627092781046e-58	8.27878507149592e-55	"Retnlg"	"C6"
"G0s2"	8.43459191409353e-58	3.10927173259866e-54	"G0s2"	"C6"
"Eif1"	1.79155427766243e-56	5.94383962700065e-53	"Eif1"	"C6"
"Lcp1"	2.09280313072509e-47	6.31208449709691e-44	"Lcp1"	"C6"
"Clec4e"	9.41447565075935e-46	2.6028671555437e-42	"Clec4e"	"C6"
"Ostf1"	5.11682136818526e-45	1.30585217332524e-41	"Ostf1"	"C6"
"Alox5ap"	9.5752910276594e-43	2.26913878874753e-39	"Alox5ap"	"C6"
"Lmnb1"	5.57095770761635e-42	1.23218442577059e-38	"Lmnb1"	"C6"
"Il1b"	3.85459802900952e-37	7.99274992552803e-34	"Il1b"	"C6"
"Mxd1"	2.25648222855459e-35	4.40372417039739e-32	"Mxd1"	"C6"
"Fpr2"	4.17086124812611e-35	7.68759242383782e-32	"Fpr2"	"C6"
"S100a11"	2.18385306963678e-33	3.81335227849153e-30	"S100a11"	"C6"
"Trem1"	2.87119833685796e-33	4.76288736109681e-30	"Trem1"	"C6"
"S100a9"	1.98955094848387e-31	3.14320627704043e-28	"S100a9"	"C6"
"F630028O10Rik"	1.13070311987152e-29	1.70515170036261e-26	"F630028O10Rik"	"C6"
"Tmcc1"	1.31173997823179e-27	1.89215640251287e-24	"Tmcc1"	"C6"
"Slpi"	1.78637789615539e-27	2.4694441441978e-24	"Slpi"	"C6"
"Ncf1"	5.75066226554062e-27	7.63158887935364e-24	"Ncf1"	"C6"
"Btg1"	1.35476852087815e-24	1.7287367391221e-21	"Btg1"	"C6"
"Msrb1"	1.51833999542501e-24	1.86570244548947e-21	"Msrb1"	"C6"
"Txnip"	1.93005330313322e-24	2.28690637278753e-21	"Txnip"	"C6"
"Coro1a"	4.87471512647167e-24	5.57684219830865e-21	"Coro1a"	"C6"
"Cd177"	2.03915854782877e-23	2.25510543804384e-20	"Cd177"	"C6"
"Mmp8"	6.43477300998815e-22	6.88666013394764e-19	"Mmp8"	"C6"
"Cd44"	1.92125015776096e-21	1.99191614012611e-18	"Cd44"	"C6"
"Csf3r"	2.03135214447085e-21	2.04224757870027e-18	"Csf3r"	"C6"
"Ptprc"	2.88399738577803e-21	2.81418768435169e-18	"Ptprc"	"C6"
"Cxcr2"	3.16619000222535e-21	3.00127673439516e-18	"Cxcr2"	"C6"
"S100a6"	5.04638160504751e-21	4.65066118085169e-18	"S100a6"	"C6"
"2310001H17Rik"	5.53305880218666e-21	4.96135924000398e-18	"2310001H17Rik"	"C6"
"Pnrc1"	2.20696401296311e-20	1.92685381731782e-17	"Pnrc1"	"C6"
"Stk17b"	3.65052906471012e-20	3.10547699435609e-17	"Stk17b"	"C6"
"Mcemp1"	1.43476587374786e-19	1.19003068483333e-16	"Mcemp1"	"C6"
"Map1lc3b"	3.81662141235383e-18	3.0883914292113e-15	"Map1lc3b"	"C6"
"Slfn2"	1.47576000431407e-17	1.16574499197924e-14	"Slfn2"	"C6"
"Resf1"	1.90821226574102e-17	1.47229670559279e-14	"Resf1"	"C6"
"Ltb"	2.59720546525096e-17	1.95835194819616e-14	"Ltb"	"C6"
"Myl12b"	7.33252527629021e-17	5.40602646869955e-14	"Myl12b"	"C6"
"Prdx5"	1.22036544430405e-15	8.8017531186251e-13	"Prdx5"	"C6"
"Actb"	1.56090511409833e-15	1.10183295681787e-12	"Actb"	"C6"
"Cd33"	3.71791239832733e-15	2.56977457581887e-12	"Cd33"	"C6"
"Fpr1"	4.61443346998598e-15	3.12434814762703e-12	"Fpr1"	"C6"
"Tnfaip2"	5.95004084065119e-15	3.94809009940569e-12	"Tnfaip2"	"C6"
"Acod1"	1.96750999932273e-14	1.27992312250059e-11	"Acod1"	"C6"
"H3f3a"	1.12338675656561e-13	7.16742354280331e-11	"H3f3a"	"C6"
"Ifitm1"	2.27909117611305e-13	1.42666807452646e-10	"Ifitm1"	"C6"
"Clec4d"	3.08979915888164e-12	1.89833827211511e-09	"Clec4d"	"C6"
"Gnai2"	4.54351969034422e-12	2.74073368666454e-09	"Gnai2"	"C6"
"Pilra"	3.86900495636505e-11	2.29217816852363e-08	"Pilra"	"C6"
"Pygl"	5.37344756558117e-11	3.12762929619801e-08	"Pygl"	"C6"
"Gpsm3"	6.05601383163984e-11	3.46414432572957e-08	"Gpsm3"	"C6"
"Glipr2"	7.17392814433859e-11	4.03405786516477e-08	"Glipr2"	"C6"
"Dgat2"	8.23888130642868e-11	4.55568941838973e-08	"Dgat2"	"C6"
"Grina"	1.50234412974756e-10	8.17102806436639e-08	"Grina"	"C6"
"Slc7a11"	2.11674392154532e-10	1.13269698524369e-07	"Slc7a11"	"C6"
"Il1rn"	3.00734034004438e-10	1.58372270574051e-07	"Il1rn"	"C6"
"Stx11"	3.9857588991178e-10	2.06618004681298e-07	"Stx11"	"C6"
"Ccr1"	4.24692385659894e-10	2.1676952736982e-07	"Ccr1"	"C6"
"Cd47"	9.674228574438e-10	4.863058809305e-07	"Cd47"	"C6"
"Actn1"	1.16888192213431e-09	5.78805903442538e-07	"Actn1"	"C6"
"Nudt4"	1.37249447806954e-09	6.69636019101664e-07	"Nudt4"	"C6"
"H2-Q10"	1.91344837763248e-09	9.20035896010329e-07	"H2-Q10"	"C6"
"Spi1"	3.33988276441906e-09	1.58296129250187e-06	"Spi1"	"C6"
"Ptafr"	1.02900976899773e-08	4.80837424028702e-06	"Ptafr"	"C6"
"Gda"	1.85511029052988e-08	8.54819362623745e-06	"Gda"	"C6"
"Cd52"	2.39368821725212e-08	1.08788210936676e-05	"Cd52"	"C6"
"Siglece"	3.62308888073897e-08	1.62436783508482e-05	"Siglece"	"C6"
"Itgal"	3.80204414179508e-08	1.68187224656447e-05	"Itgal"	"C6"
"Slfn1"	5.05273712451192e-08	2.18286407051823e-05	"Slfn1"	"C6"
"Srsf5"	5.06617637007274e-08	2.18286407051823e-05	"Srsf5"	"C6"
"Fgr"	9.09773558807096e-08	3.86968684109526e-05	"Fgr"	"C6"
"Arpc5"	1.09527529636422e-07	4.59974031740199e-05	"Arpc5"	"C6"
"Ltb4r1"	1.92453074928459e-07	7.98126958362686e-05	"Ltb4r1"	"C6"
"Dgat1"	2.13998048771628e-07	8.7652015606127e-05	"Dgat1"	"C6"
"Mcl1"	3.60199633788361e-07	0.000145735893295079	"Mcl1"	"C6"
"Ncf2"	3.79792462340192e-07	0.000150247022749504	"Ncf2"	"C6"
"Sell"	3.8040660430293e-07	0.000150247022749504	"Sell"	"C6"
"Crispld2"	3.90527259972563e-07	0.00015242968122482	"Crispld2"	"C6"
"Gsr"	5.73375259624465e-07	0.000221196174285592	"Gsr"	"C6"
"Gmfg"	8.17070920349272e-07	0.000311585769246297	"Gmfg"	"C6"
"Ier5"	9.12759949846754e-07	0.000344120873364383	"Ier5"	"C6"
"Il1f9"	9.28519239284943e-07	0.000346129020244456	"Il1f9"	"C6"
"Slc16a3"	9.71346575148292e-07	0.000358070725818832	"Slc16a3"	"C6"
"Nfe2"	1.78834534997454e-06	0.000651999271165994	"Nfe2"	"C6"
"Sorl1"	2.48022643619346e-06	0.000894418179060766	"Sorl1"	"C6"
"Cd63"	1.18497941574893e-54	3.93140620763024e-50	"Cd63"	"C7"
"Pgk1"	8.28587508869506e-38	1.37450238908818e-33	"Pgk1"	"C7"
"Ctsz"	3.72998529322517e-32	4.12499073577771e-28	"Ctsz"	"C7"
"Psmb6"	1.47973410811208e-30	1.22732846262086e-26	"Psmb6"	"C7"
"Ctsl"	2.62680482987656e-24	1.7429900768163e-20	"Ctsl"	"C7"
"Rabac1"	9.10699155074464e-23	5.03571097798423e-19	"Rabac1"	"C7"
"Bsg"	5.47350885159477e-21	2.59420861670514e-17	"Bsg"	"C7"
"Lpl"	5.55167897248731e-20	2.30235066587764e-16	"Lpl"	"C7"
"Ctsd"	1.86388849079115e-19	6.87091427321979e-16	"Ctsd"	"C7"
"Edem1"	4.63583437392873e-19	1.53803077023833e-15	"Edem1"	"C7"
"Pkm"	4.98925057284896e-18	1.49953404604121e-14	"Pkm"	"C7"
"Myo1e"	5.42376000014906e-18	1.49953404604121e-14	"Myo1e"	"C7"
"Cfl1"	2.20650245950291e-17	5.63116400760986e-14	"Cfl1"	"C7"
"Havcr2"	1.62990077533809e-16	3.86251557309941e-13	"Havcr2"	"C7"
"Med29"	6.68800173872485e-16	1.47925222457116e-12	"Med29"	"C7"
"Ykt6"	1.21169461751734e-15	2.5125245203358e-12	"Ykt6"	"C7"
"Tmed9"	1.89484161426623e-15	3.69795060214769e-12	"Tmed9"	"C7"
"Cndp2"	2.08262881109529e-15	3.83863200365047e-12	"Cndp2"	"C7"
"Pmp22"	3.55198211528977e-15	6.20232161257731e-12	"Pmp22"	"C7"
"Arhgdia"	4.23326755556066e-15	6.95633775591033e-12	"Arhgdia"	"C7"
"Prkcsh"	4.40314352937628e-15	6.95633775591033e-12	"Prkcsh"	"C7"
"Adam8"	9.89656815045573e-15	1.49244746148941e-11	"Adam8"	"C7"
"Ell2"	1.08842311865438e-14	1.57002668728681e-11	"Ell2"	"C7"
"Ppib"	2.8671853255811e-14	3.96352531445018e-11	"Ppib"	"C7"
"Aig1"	3.17427783138875e-14	4.09336995415422e-11	"Aig1"	"C7"
"Speg"	3.20787349091268e-14	4.09336995415422e-11	"Speg"	"C7"
"Psen2"	5.80306021919782e-14	6.97130179895117e-11	"Psen2"	"C7"
"Sars"	5.88348706545598e-14	6.97130179895117e-11	"Sars"	"C7"
"Emc7"	8.73630024269092e-14	9.99462872937091e-11	"Emc7"	"C7"
"Yif1a"	2.26932240348276e-13	2.50964364601159e-10	"Yif1a"	"C7"
"Dad1"	2.99893612967034e-13	3.20953883787332e-10	"Dad1"	"C7"
"Glmp"	3.9500165858297e-13	4.09530313337725e-10	"Glmp"	"C7"
"Spcs2"	8.48647831162367e-13	8.53199669529511e-10	"Spcs2"	"C7"
"Vcp"	2.97307988039483e-12	2.90111385858409e-09	"Vcp"	"C7"
"Slc39a7"	4.72875793939932e-12	4.48245720444146e-09	"Slc39a7"	"C7"
"Prrc1"	5.67369383808186e-12	5.09121258881345e-09	"Prrc1"	"C7"
"Apbb2"	5.67787520830991e-12	5.09121258881345e-09	"Apbb2"	"C7"
"Nrp2"	6.57419463239322e-12	5.739790929445e-09	"Nrp2"	"C7"
