""	"p.value"	"FDR"	"gene"	"cluster"
"Gm9493"	6.10497154478344e-07	0.000213204885201348	"Gm9493"	"C8"
"Supt4a"	1.11382686960719e-06	0.000384931604718311	"Supt4a"	"C8"
"Agpat4"	1.42063780206049e-06	0.000485902065556298	"Agpat4"	"C8"
"AA467197"	2.32475072546011e-06	0.00078702300835296	"AA467197"	"C8"
"Isg15"	2.08248460863152e-69	6.90905918605671e-65	"Isg15"	"C9"
"Lgals3bp"	1.01671094442028e-61	1.68657095015156e-57	"Lgals3bp"	"C9"
"B2m"	1.07669850731278e-55	1.19072087923721e-51	"B2m"	"C9"
"Irf7"	4.72168467267977e-55	3.67695260444929e-51	"Irf7"	"C9"
"Ifit3"	5.54141815783418e-55	3.67695260444929e-51	"Ifit3"	"C9"
"Phf11b"	4.65701137184213e-46	2.57509443806012e-42	"Phf11b"	"C9"
"Fcgr1"	2.47534903685794e-36	1.17320935708336e-32	"Fcgr1"	"C9"
"Lgals9"	2.288932929012e-35	9.49249097322889e-32	"Lgals9"	"C9"
"Zbp1"	3.93478518757523e-35	1.45049297964648e-31	"Zbp1"	"C9"
"Tor3a"	1.59500172610884e-34	5.2917372267113e-31	"Tor3a"	"C9"
"Phf11d"	2.45322597803051e-34	7.39915257028342e-31	"Phf11d"	"C9"
"Oasl2"	3.75216537323199e-31	1.03737992156432e-27	"Oasl2"	"C9"
"Ifi204"	1.03867550670498e-30	2.49978005918105e-27	"Ifi204"	"C9"
"Rtp4"	1.05485489431036e-30	2.49978005918105e-27	"Rtp4"	"C9"
"Ifi35"	3.46528910344799e-30	7.6645264390063e-27	"Ifi35"	"C9"
"Stat1"	2.38477805121148e-29	4.94498633781519e-26	"Stat1"	"C9"
"Usp18"	4.78088832223729e-29	9.33032540393333e-26	"Usp18"	"C9"
"Xaf1"	1.1088758239044e-27	2.04384295609312e-24	"Xaf1"	"C9"
"Ly6e"	1.5409986611655e-24	2.69082697797304e-21	"Ly6e"	"C9"
"Ccl5"	1.94298517591215e-21	3.22312095906186e-18	"Ccl5"	"C9"
"Trim30a"	3.57121875981439e-21	5.64201546639821e-18	"Trim30a"	"C9"
"Cxcl10"	7.922253529706e-18	1.19471184252298e-14	"Cxcl10"	"C9"
"Ifit2"	1.30486711012006e-17	1.88224243967187e-14	"Ifit2"	"C9"
"Tapbp"	1.43835187933279e-17	1.98834167919266e-14	"Tapbp"	"C9"
"Psme1"	5.06638774387125e-17	6.72350184713664e-14	"Psme1"	"C9"
"Ifit1"	6.43748193116531e-17	8.21447453962584e-14	"Ifit1"	"C9"
"Rnf213"	1.79246236299994e-16	2.20253791915737e-13	"Rnf213"	"C9"
"Rsad2"	4.75222031525955e-16	5.63087190712021e-13	"Rsad2"	"C9"
"Ifi211"	1.27842617898859e-15	1.46256363242429e-12	"Ifi211"	"C9"
"Ifi209"	1.01161547974267e-14	1.11874555904742e-11	"Ifi209"	"C9"
"Tor1aip1"	2.80429772965238e-14	3.00123179924765e-11	"Tor1aip1"	"C9"
"Ccl12"	3.0393426056081e-14	3.15113342582063e-11	"Ccl12"	"C9"
"Tap1"	9.84517434813274e-14	9.89798028327273e-11	"Tap1"	"C9"
"H2-T23"	2.31723829212137e-12	2.26114749463855e-09	"H2-T23"	"C9"
"Trim30d"	2.52595285537539e-12	2.39438679665112e-09	"Trim30d"	"C9"
"Irgm1"	4.91745903945387e-12	4.53184829311003e-09	"Irgm1"	"C9"
"Eif2ak2"	6.63359522400167e-12	5.94818347964063e-09	"Eif2ak2"	"C9"
"Stard3"	1.51389029911566e-11	1.32174574878316e-08	"Stard3"	"C9"
"Sp110"	2.49621791876001e-11	2.12351338181284e-08	"Sp110"	"C9"
"Ifi206"	3.17730469496601e-11	2.63533594662218e-08	"Ifi206"	"C9"
"Ube2l6"	4.40740843732993e-11	3.56645340793402e-08	"Ube2l6"	"C9"
"Ifit3b"	1.00701868712352e-10	7.95472832921362e-08	"Ifit3b"	"C9"
"Slfn5"	1.14419394287704e-10	8.8281214983329e-08	"Slfn5"	"C9"
"Parp14"	1.27583064783979e-10	9.62005304622294e-08	"Parp14"	"C9"
"Epsti1"	5.6715386370963e-10	4.1814363858432e-07	"Epsti1"	"C9"
"Parp12"	8.66122280055767e-10	6.24681280117613e-07	"Parp12"	"C9"
"Gbp2"	9.69569163370602e-10	6.84412683683967e-07	"Gbp2"	"C9"
"Aif1"	1.6935499719131e-09	1.17056057121169e-06	"Aif1"	"C9"
"Psme2"	2.69460245080665e-09	1.82446582674311e-06	"Psme2"	"C9"
"Psmb10"	6.62179315319825e-09	4.37677292782043e-06	"Psmb10"	"C9"
"Parp9"	6.72801697919769e-09	4.37677292782043e-06	"Parp9"	"C9"
"Ifih1"	1.23758324569115e-08	7.89601910428755e-06	"Ifih1"	"C9"
"H2-K1"	3.50186536924671e-08	2.19210164821695e-05	"H2-K1"	"C9"
"Evi2a"	3.80807910136814e-08	2.33964148789057e-05	"Evi2a"	"C9"
"Marchf5"	5.84868210454707e-08	3.52803138513742e-05	"Marchf5"	"C9"
"Lap3"	6.54750005276958e-08	3.87904302233458e-05	"Lap3"	"C9"
"Dhx58"	8.2580557281445e-08	4.80662306829211e-05	"Dhx58"	"C9"
"Trafd1"	9.65013678584125e-08	5.52004462316992e-05	"Trafd1"	"C9"
"Ogfr"	1.06572846055466e-07	5.99282595522407e-05	"Ogfr"	"C9"
"Apobec3"	1.86347305835875e-07	0.000103040742761947	"Apobec3"	"C9"
"Phf11a"	3.19641720728933e-07	0.000173848415879079	"Phf11a"	"C9"
"Dtx3l"	3.39113593316071e-07	0.000181464059442699	"Dtx3l"	"C9"
"H2-Q7"	7.26435728687761e-07	0.000382554891597998	"H2-Q7"	"C9"
"Sp100"	8.56864570544451e-07	0.000444190560264895	"Sp100"	"C9"
"Igtp"	1.14996960698329e-06	0.000586962179244379	"Igtp"	"C9"
"Mx1"	1.52327626577492e-06	0.000765723282872946	"Mx1"	"C9"
"Ccl4"	1.6338126707317e-06	0.000809029895177101	"Ccl4"	"C9"
"Ptma"	1.66772642206065e-46	5.53301595047065e-42	"Ptma"	"C10"
"Gmnn"	3.74107496517704e-37	6.20588220598395e-33	"Gmnn"	"C10"
"Csrp1"	1.98297788988305e-29	2.19297524842166e-25	"Csrp1"	"C10"
"Siva1"	2.23911281553372e-28	1.85717614702405e-24	"Siva1"	"C10"
"Hmgb2"	3.021960573987e-27	2.00519171926334e-23	"Hmgb2"	"C10"
"Dut"	1.70089864296941e-24	9.40511904629937e-21	"Dut"	"C10"
"Cdkn2d"	1.13231992048985e-22	5.36671114315598e-19	"Cdkn2d"	"C10"
"Hmgb3"	7.5669554450597e-22	3.13811101000932e-18	"Hmgb3"	"C10"
"H2az1"	7.1042077644753e-20	2.61884778891108e-16	"H2az1"	"C10"
"Lsm5"	4.41288148201961e-19	1.46406168928964e-15	"Lsm5"	"C10"
"Hmgn2"	2.19552553955681e-18	6.2907253768321e-15	"Hmgn2"	"C10"
"Ptpn7"	2.27533244482579e-18	6.2907253768321e-15	"Ptpn7"	"C10"
"Lmo4"	3.9936488663168e-18	1.01920991105994e-14	"Lmo4"	"C10"
"Arpp19"	6.46425091264721e-18	1.53188894663497e-14	"Arpp19"	"C10"
"Smc4"	1.36414255168396e-17	3.01721049581457e-14	"Smc4"	"C10"
"Rpa3"	2.10310346923456e-17	4.36091648742468e-14	"Rpa3"	"C10"
"Me2"	9.48314474529146e-17	1.85071937185021e-13	"Me2"	"C10"
"Tle5"	1.135057461112e-16	2.09210007707293e-13	"Tle5"	"C10"
"Asf1b"	1.60750550606453e-16	2.80695843024753e-13	"Asf1b"	"C10"
"Pclaf"	3.16597866567445e-16	5.25188370955406e-13	"Pclaf"	"C10"
"Lbr"	4.27172045684273e-16	6.74870807603197e-13	"Lbr"	"C10"
"Atad2"	9.08338110736988e-16	1.36981515908732e-12	"Atad2"	"C10"
"Dnmt1"	1.09220032958032e-14	1.57547523193419e-11	"Dnmt1"	"C10"
"Pnkp"	4.72279402530806e-14	6.52867239073524e-11	"Pnkp"	"C10"
"Tkt"	8.21461737615271e-14	1.09014544275447e-10	"Tkt"	"C10"
"Snrpe"	9.99313394251133e-14	1.275162326195e-10	"Snrpe"	"C10"
"Haus8"	1.68378083539457e-13	2.06899247318095e-10	"Haus8"	"C10"
"Lsm8"	1.83011547048067e-13	2.16849074871919e-10	"Lsm8"	"C10"
"Ppil1"	2.24632024817683e-13	2.5698678232332e-10	"Ppil1"	"C10"
"Impa2"	3.00849663687077e-13	3.32709643071539e-10	"Impa2"	"C10"
"Anp32b"	3.4690256837238e-13	3.71264080996467e-10	"Anp32b"	"C10"
