"Pair_name","Score","pval","adj_pval","Ligand_cell","Receptor_cell","split.by","Ligand","Receptor","Ligand_avgExp","Receptor_avgExp","Ligand_pct","Receptor_pct","Cell_pair","LR_pair","Ligand_cell_pct","Receptor_cell_pct"
"Clcf1_Cntfr",0.268610191606986,0,0.627,"Monocyte","Astrocyte","1dpi","Clcf1","Cntfr",0.104420578340838,0.432799804873133,0.091,0.378,"Monocyte_Astrocyte","Clcf1_Cntfr",57.4,55.8
"Clcf1_Cntfr",0.256333475223854,0,0.654,"Macrophage-A","Astrocyte","1dpi","Clcf1","Cntfr",0.0798671455745757,0.432799804873133,0.073,0.378,"Macrophage-A_Astrocyte","Clcf1_Cntfr",22.5,55.8
"Clcf1_Cntfr",0.216399902436566,0,0.759,"Macrophage-B","Astrocyte","1dpi","Clcf1","Cntfr",0,0.432799804873133,0,0.378,"Macrophage-B_Astrocyte","Clcf1_Cntfr",1.7,55.8
"Clcf1_Cntfr",0.234715491259773,0,0.707,"H-Microglia","Astrocyte","1dpi","Clcf1","Cntfr",0.0366311776464122,0.432799804873133,0.06,0.378,"H-Microglia_Astrocyte","Clcf1_Cntfr",17.3,55.8
"Clcf1_Cntfr",0.257362291423647,0,0.652,"DAM-A","Astrocyte","1dpi","Clcf1","Cntfr",0.0819247779741617,0.432799804873133,0.114,0.378,"DAM-A_Astrocyte","Clcf1_Cntfr",22.4,55.8
"Clcf1_Cntfr",0.234079015479396,0,0.71,"DAM-B","Astrocyte","1dpi","Clcf1","Cntfr",0.0353582260856601,0.432799804873133,0.06,0.378,"DAM-B_Astrocyte","Clcf1_Cntfr",42.6,55.8
"Clcf1_Cntfr",0.244519214981511,0,0.684,"DAM-C","Astrocyte","1dpi","Clcf1","Cntfr",0.056238625089889,0.432799804873133,0.09,0.378,"DAM-C_Astrocyte","Clcf1_Cntfr",42.1,55.8
"Clcf1_Cntfr",0.248368080362315,0,0.67,"Fibroblast","Astrocyte","1dpi","Clcf1","Cntfr",0.0639363558514965,0.432799804873133,0.095,0.378,"Fibroblast_Astrocyte","Clcf1_Cntfr",40,55.8
"Clcf1_Cntfr",0.413311891823486,0,0.295,"Astroependymal","Astrocyte","1dpi","Clcf1","Cntfr",0.393823978773839,0.432799804873133,0.448,0.378,"Astroependymal_Astrocyte","Clcf1_Cntfr",79.7,55.8
"Clcf1_Cntfr",0.231430747855954,0,0.719,"OPC-A","Astrocyte","1dpi","Clcf1","Cntfr",0.0300616908387744,0.432799804873133,0.048,0.378,"OPC-A_Astrocyte","Clcf1_Cntfr",28.4,55.8
"Clcf1_Cntfr",0.343922671520238,0,0.435,"OPC-B","Astrocyte","1dpi","Clcf1","Cntfr",0.255045538167343,0.432799804873133,0.382,0.378,"OPC-B_Astrocyte","Clcf1_Cntfr",69.8,55.8
"Clcf1_Cntfr",0.160725359908082,0,0.879,"Monocyte","OPC-A","1dpi","Clcf1","Cntfr",0.104420578340838,0.217030141475327,0.091,0.303,"Monocyte_OPC-A","Clcf1_Cntfr",57.4,28.4
"Clcf1_Cntfr",0.148448643524951,0,0.898,"Macrophage-A","OPC-A","1dpi","Clcf1","Cntfr",0.0798671455745757,0.217030141475327,0.073,0.303,"Macrophage-A_OPC-A","Clcf1_Cntfr",22.5,28.4
"Clcf1_Cntfr",0.108515070737663,0.001,0.957,"Macrophage-B","OPC-A","1dpi","Clcf1","Cntfr",0,0.217030141475327,0,0.303,"Macrophage-B_OPC-A","Clcf1_Cntfr",1.7,28.4
"Clcf1_Cntfr",0.126830659560869,0,0.939,"H-Microglia","OPC-A","1dpi","Clcf1","Cntfr",0.0366311776464122,0.217030141475327,0.06,0.303,"H-Microglia_OPC-A","Clcf1_Cntfr",17.3,28.4
"Clcf1_Cntfr",0.149477459724744,0,0.897,"DAM-A","OPC-A","1dpi","Clcf1","Cntfr",0.0819247779741617,0.217030141475327,0.114,0.303,"DAM-A_OPC-A","Clcf1_Cntfr",22.4,28.4
"Clcf1_Cntfr",0.126194183780493,0,0.94,"DAM-B","OPC-A","1dpi","Clcf1","Cntfr",0.0353582260856601,0.217030141475327,0.06,0.303,"DAM-B_OPC-A","Clcf1_Cntfr",42.6,28.4
"Clcf1_Cntfr",0.136634383282608,0,0.927,"DAM-C","OPC-A","1dpi","Clcf1","Cntfr",0.056238625089889,0.217030141475327,0.09,0.303,"DAM-C_OPC-A","Clcf1_Cntfr",42.1,28.4
